"","POLY_ID","MEDHVAL","PCTBACHMOR","MEDHHINC","PCTVACANT","PCTSINGLES","cluster"
"1",1,225000,64.4737,49107,13.2075,11.3208,2
"2",2,181900,78.7805,46304,0,0,2
"3",3,225000,45,26875,0,42.8571,2
"4",4,113600,64.3564,49375,7.75,0,2
"5",5,126200,13.069,9432,9.7387,0,1
"6",6,55000,32.6087,2499,0,0,1
"7",7,194400,63.5319,47143,12.9228,3.3825,2
"8",8,43800,43.7323,31981,9.2357,0,1
"9",9,45000,38.3754,11923,8.6165,0,1
"10",10,450000,27.0655,10515,24.3671,0,2
"11",11,225000,71.5566,41563,16.7732,0,2
"12",12,225000,61.8785,45556,17.8161,6.3218,2
"13",13,58300,58.6667,33550,6.8293,0,2
"14",14,153700,81.0284,30511,6.6358,3.3951,2
"15",15,120900,75.2469,44890,5.419,0,2
"16",16,394400,86.6038,37765,10.3448,1.6799,2
"17",17,233300,73.671,47346,8.874,0.8203,2
"18",18,258500,84.4459,35682,5.3435,0.6246,2
"19",19,328900,70.3463,34904,0,5.7851,2
"20",20,318800,92.987,60385,7.5284,1.2784,2
"21",21,295300,42.7329,14932,0,0,2
"22",22,139300,77.7457,19129,11.0254,0.882,2
"23",23,164100,69.2308,25729,12.8319,0.9956,2
"24",24,162500,54.1056,20717,0,0,2
"25",25,293200,58.481,117991,11.8081,2.214,2
"26",26,215100,75.043,52070,0.3641,1.9417,2
"27",27,185200,74.5604,64013,4.8872,0.5263,2
"28",28,313500,78.6805,87819,9.2798,2.1468,2
"29",29,265000,88.1356,41133,9.2643,3.2698,2
"30",30,200000,76.3092,68333,3.7453,0,2
"31",31,155800,46.9136,21771,4.1284,2.7523,2
"32",32,109700,59.8198,33182,8.8421,2.1053,2
"33",33,164400,63.7097,37578,0,6.326,2
"34",34,211300,60.8059,38382,12.5954,0,2
"35",35,239200,58.0524,43654,0,0,2
"36",36,162500,70.767,35714,7.4664,0,2
"37",37,144600,50.2381,31216,6.9364,6.0694,2
"38",38,189000,87.2642,35882,6.5156,5.3824,2
"39",39,229200,69.1235,40489,5.7906,0,2
"40",40,264000,78.629,46964,4.8443,3.9792,2
"41",41,258700,74.8993,53947,4.7525,8.1188,2
"42",42,250500,80.776,74010,2.3438,5.2083,2
"43",43,504200,73.4778,51858,3.9841,2.2576,2
"44",44,444600,84.2805,39778,16.8208,0.578,2
"45",45,89400,41.0169,32955,9.9526,6.1611,1
"46",46,67100,20.4188,28750,17.5403,9.6774,1
"47",47,40700,7.4163,21492,12.8378,4.7297,1
"48",48,49000,7.5209,14038,10.6122,13.8776,1
"49",49,45000,0,21413,23.913,14.1304,1
"50",50,53500,14.4231,22857,15.9722,11.8056,1
"51",51,132100,43.6214,26394,11.5385,4.3956,2
"52",52,84400,14.3137,31563,17.3171,1.9512,1
"53",53,59100,6.6,10346,20.3593,0,1
"54",54,89200,10.6838,65272,20.2532,0,1
"55",55,98000,56.9721,45250,7.8512,4.5455,2
"56",56,66200,31.3433,29375,15.812,12.3932,1
"57",57,83000,44.2561,31722,13.278,4.5643,1
"58",58,111500,36.1765,27418,13.4565,2.6385,1
"59",59,107400,42.9967,20250,18.1452,4.4355,1
"60",60,162500,56.8075,50260,11.4688,4.829,2
"61",61,203900,73.7401,40625,3.9216,1.3072,2
"62",62,128400,35.2332,34050,7.8652,11.236,2
"63",63,47500,17.0732,19519,23.5,3.5,1
"64",64,225000,70.1456,50781,3.9604,2.3102,2
"65",65,170800,67.3575,51705,7.0724,5.4276,2
"66",66,160000,35.8543,44911,20.8696,4.3478,2
"67",67,150000,65.3422,61250,0,2.6217,2
"68",68,187000,67.4183,49643,5.891,5.3019,2
"69",69,157200,59.0634,45000,13.0178,0,2
"70",70,118000,41.4051,40855,0,0,2
"71",71,93400,45.4082,39784,10.9272,2.649,2
"72",72,89600,46.4037,36250,10.1818,2.9091,2
"73",73,59200,31.6583,23289,8.6667,10.6667,1
"74",74,28600,19.0476,30833,20.155,10.0775,1
"75",75,225000,7.2464,22109,33.0357,16.9643,1
"76",76,33200,3.1546,16696,20.8178,12.2677,1
"77",77,45000,13.4715,25777,18.6667,12.6667,1
"78",78,45400,6.7485,25179,24.8227,8.5106,1
"79",79,62900,7.3718,21550,16.7224,6.3545,1
"80",80,52400,19.4748,31467,28.1395,3.7209,1
"81",81,29700,8.4034,21083,14.1935,12.9032,1
"82",82,23900,0,24750,12.3077,0,1
"83",83,25300,4.0541,17429,23.7354,21.0117,1
"84",84,25500,2.1368,22115,13.6905,0,1
"85",85,21900,0,17386,22.0183,5.0459,1
"86",86,33100,10.8108,28017,20.8333,5.2083,1
"87",87,22800,6.9106,19375,26.9076,3.6145,1
"88",88,25200,10.8808,14922,22.0217,11.5523,1
"89",89,41400,3.4483,27857,11.2903,0,1
"90",90,29000,1.8561,21121,25.6098,0.9146,1
"91",91,47100,25.0489,40778,13.4518,0,1
"92",92,60000,10,16528,27.0903,0,1
"93",93,18700,5.6452,22132,34.7656,2.7344,1
"94",94,22800,15.2174,31250,19.5556,8.4444,1
"95",95,69900,12.3746,29412,16.2791,9.7674,1
"96",96,60000,28.2828,31731,5.1282,5.1282,1
"97",97,48200,18.1395,26167,14.1509,5.6604,1
"98",98,77200,39.946,37431,12.8514,6.6265,1
"99",99,83500,42.2259,37500,6.6176,3.4314,2
"100",100,73600,35.873,43214,21.2245,10.6122,1
"101",101,62100,13.6207,28269,4.1534,9.2652,1
"102",102,73800,27.9915,33750,4.7619,10.4167,1
"103",103,63600,19.4836,33021,9.7744,17.2932,1
"104",104,60900,16.5217,21420,33.125,0,1
"105",105,52100,20.3636,26000,32.1168,11.6788,1
"106",106,89400,33.4218,42098,17.5549,0,1
"107",107,91000,37.8261,59107,10.8571,16.5714,2
"108",108,90200,31.2775,42969,0,10.274,2
"109",109,50800,15.3101,27794,15.4494,3.6517,1
"110",110,76300,18.2979,29028,17.4847,13.4969,1
"111",111,73500,23.2117,16277,22.292,6.4364,1
"112",112,75000,5.1887,45433,0,4.7619,1
"113",113,53000,10.9792,35000,12.6609,5.1502,1
"114",114,64100,17.5559,14821,9.5477,8.5427,1
"115",115,32800,7.1082,28365,27.6803,3.3138,1
"116",116,40900,7.8176,22308,20.0861,3.1564,1
"117",117,41000,8.8415,12319,14.6288,0,1
"118",118,52200,18.6589,25625,12.9098,0,1
"119",119,63100,32.613,49444,5.8496,2.2284,1
"120",120,49300,13.7155,19467,8.7894,3.4826,1
"121",121,40700,12.1658,28583,20.813,5.6911,1
"122",122,37000,10.5053,16310,15.5819,12.6233,1
"123",123,44700,1.5221,16027,9.8522,10.5911,1
"124",124,64400,8.6902,28352,9.3361,2.0747,1
"125",125,61500,10.3586,24875,9.2157,7.2549,1
"126",126,53800,7.3418,20167,8.7452,8.7452,1
"127",127,48900,3.8737,23656,7.6923,12.8205,1
"128",128,53300,14.7727,21364,5.1546,5.6701,1
"129",129,52800,15.4574,17619,5.8296,0,1
"130",130,47500,22.108,24250,16.2455,4.3321,1
"131",131,63600,8.6614,35125,13.0208,0,1
"132",132,65800,19.1646,37639,7.2874,0,1
"133",133,67800,39.7174,28125,8.8517,2.3923,1
"134",134,69800,38.3268,30850,6.25,9.6875,1
"135",135,57200,18.2796,27736,6.7568,2.7027,1
"136",136,23600,10.6115,17125,16.5116,9.3023,1
"137",137,38900,5.6582,29500,18.4746,11.8644,1
"138",138,46300,13.8843,19688,11.5625,3.125,1
"139",139,33800,12.26,19327,11.6162,18.9394,1
"140",140,35100,6.5854,18750,9.4923,5.5188,1
"141",141,41300,1.9342,11750,9.375,5.7292,1
"142",142,37800,1.4151,32273,24.2667,6.4,1
"143",143,25200,6.9583,15875,19.1257,14.7541,1
"144",144,24700,0,17135,32.8244,12.9771,1
"145",145,35700,0,18977,12.5,5.6452,1
"146",146,36700,9.1623,18125,16.9435,13.9535,1
"147",147,28100,4.0984,18750,17.3729,2.1186,1
"148",148,30300,8.2148,15341,14.128,3.3113,1
"149",149,30600,3.5573,19471,28.0488,10.2439,1
"150",150,18300,0,14274,30.8901,0,1
"151",151,18000,3.2787,19773,24.2105,4.2105,1
"152",152,24000,3.4188,16300,21.4932,13.3484,1
"153",153,37500,6.3158,16016,16.9884,10.0386,1
"154",154,33800,0,11958,18.8776,0,1
"155",155,31400,1.2868,35625,10.1449,12.1739,1
"156",156,18800,5.868,24609,16.7883,7.2993,1
"157",157,31900,1.9608,17378,17.6781,11.6095,1
"158",158,23600,8.8542,33125,10.596,20.5298,1
"159",159,10600,24.5614,8516,0,42.8571,1
"160",160,18900,0,33224,28.8973,3.8023,1
"161",161,16200,0,20893,28.1081,2.973,1
"162",162,31500,4.0043,24848,9.8315,3.5112,1
"163",163,28800,10.9774,31713,10.3226,12.2581,1
"164",164,27800,4.685,19352,8.4158,1.9802,1
"165",165,25700,5.1429,20089,5,0,1
"166",166,19800,6.0847,32656,14.6179,3.9867,1
"167",167,13500,0,29821,28.7879,0,1
"168",168,20400,0,19702,21.0191,3.1847,1
"169",169,22500,6.9444,24722,25.6098,8.5366,1
"170",170,19900,0,23750,11.2745,10.7843,1
"171",171,37100,4.7101,19063,31.5574,9.4262,1
"172",172,12600,4.158,6822,38.9928,4.3165,1
"173",173,55700,1.3008,7183,29.1246,7.7441,1
"174",174,41500,0,7301,14.3041,6.3144,1
"175",175,53700,27.3523,43512,1.6949,0,1
"176",176,52300,0,36705,3.7383,4.6729,1
"177",177,60200,19.8276,31786,3.7736,0,1
"178",178,44400,6.2176,22404,13.2841,0,1
"179",179,34700,5.4517,27625,5.3476,2.139,1
"180",180,36400,1.2048,28046,11.7268,5.2835,1
"181",181,34000,7.5359,26071,15.27,6.3315,1
"182",182,40100,1.5203,23150,17.0561,3.7383,1
"183",183,51700,6.2069,27361,5.1786,1.6071,1
"184",184,41600,3.2258,23125,6.0656,8.3607,1
"185",185,40700,11.7773,31010,4.9057,3.3962,1
